year;kind;amount;decree;dou;url
2024;obras;119812.02;11.871/2023;DOU 29.12.2023 Edicao extra;https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11871.htm
2024;compras;59906.02;11.871/2023;DOU 29.12.2023 Edicao extra;https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11871.htm
2025;obras;125451.15;12.343/2024;DOU 31.12.2024;https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12343.htm
2025;compras;62725.59;12.343/2024;DOU 31.12.2024;https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/decreto/d12343.htm
2026;obras;130984.20;12.807/2025;DOU 30.12.2025;https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12807.htm
2026;compras;65492.11;12.807/2025;DOU 30.12.2025;https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2025/decreto/d12807.htm
